INDEX	Specimen CODE	collectionNumber	Alt_Coll_No	LABEL_Species_author	Cleaned_NAMES-USE-THIS	id_modifier	Genus	Species_ept	collectionDate	collectors	Material type	Received by MOR	country	state/province	substate	substateRank	site	habitat	associates	Flower	Fruit	Veg	MatureBuds	DBH-cm	Height-m	plantAttributesOther	elevation	elevationSource	determinationOriginal	subsequentDetermination	detBy	detDate	determinationNotes	sourceInstitution	livingCollectionsNumber	OrigSourceInfo	Original Source- Cultivated	waypoint	latitude.orig	longitude.orig	datum	utm_zone	utm_northing	utm_easting	Altitude	coordinatesSource	photos	Collecting_Extracting notes	Expedition	Project	DNA_location	voucher1	voucher2	voucher3	otherVouchers	MOR_Acc_Num	Voucher_Notes	MOR_Barcode	MorphAcc_Num	Recollect_Date	Recollect_Num	Recollect_Collecters	Sent to Floragenex	RAD Batch.No	RAD sequencing notes	TEMP	Mira used for:	Wild_Arb_GH_Collected	Paper References	latitude_georef	longitude_georef	Georeference_source	country-georef	state_province_georef	County_georef	City_georef	Tip_labels 	Andrews Paper	Voucher Imaged	SPECIES-LINK-TO-TAXONOMY (no vars)	Cronn CP Sequenced	SRA_bioproject_accession	SRA_biosample_accession	SRA_library_ID	SRA_title_correct_LOCALITY_INFO	SRA_filename	SRA_Publication	SRA_SEQUENCES USED IN 	SRA_NOTES	Sequenced on 	Sequencing Summary	Floragenex Lib.No	EXTRACTION LABELING
1	QUE000001	JCB-MX-MI-ZE-1		Quercus rugosa Née	Quercus rugosa		Quercus	rugosa	4/17/2011	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - on the road to the restaurant Miralago; walked up from Seccion Zirahuen, cabanas												Q. rugosa	Q. rugosa	Susana Valencia			n/a	n/a	n/a	F														UMN	UMN	MOR	x	x	175909							OAK-UMN-150	Batch 2		Michoacan, MX		Wild		19.453344	-101.731678	GEOLocate web app test Lago Ziraheun	Mexico	Michoacan			Quercus rugosa_>OAK-UMN-150	Quercus rugosa | OAK-UMN-150 | MEXICO : Michoacan	http://quercus.lifedesks.org/node/870	Quercus rugosa Née		PRJNA376740	0	OAK-UMN-150	PstI RADseq of Quercus rugosa from MEXICO : Michoacan	OAK-UMN-150.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)					
2	QUE000002	JCB-MX-MI-ZE-2		Quercus rugosa Née	#N/A		Quercus	rugosa	40650	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - on the road to the restaurant Miralgo; walked up from Seccion Zirahuen, cabanas												Q. rugosa	Q. rugosa	Susana Valencia			n/a	n/a	n/a												"Sample #2 not found. Sample #3 not listed here, was found and extracted 8/22/11. 
"			UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus rugosa Née													
3	QUE000003	JCB-MX-MI-ZE-3		?	#N/A		Quercus			Jeannine Cavender-Bares			Mexico	Michoacan																				n/a	n/a	n/a												Sample #2 not found. Sample #3 not listed here, was found and extracted 8/22/11. 			UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus sp. L.													
4	QUE000004	JCB-MX-MI-ZE-4		Quercus rugosa Née	#N/A		Quercus	rugosa	40650	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - on the road to the restaurant Miralgo; walked up from Seccion Zirahuen, cabanas												Q. rugosa	Q. rugosa Nee	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus rugosa Née													
5	QUE000005	JCB-MX-MI-ZE-5		Quercus rugosa Née	#N/A		Quercus	rugosa	40650	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - on the road to the restaurant Miralgo; walked up from Seccion Zirahuen, cabanas												Q. rugosa	Q. rugosa	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus rugosa Née													
6	QUE000006	JCB-MX-MI-ZE-6		Quercus obtusata Bonpl.	#N/A		Quercus	obtusata	40650	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - on the road to the restaurant Miralgo; walked up from Seccion Zirahuen, cabanas												magnolifolia resinosa group	Q. obtusata	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus obtusata Bonpl.													
7	QUE000007	JCB-MX-MI-ZE-7		Quercus rugosa Née	#N/A		Quercus	rugosa	40650	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - on the road to the restaurant Miralgo; walked up from Seccion Zirahuen, cabanas												Q. rugosa	Q. rugosa	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus rugosa Née													
8	QUE000008	JCB-MX-MI-ZE-8		Quercus candicans Née	Quercus candicans		Quercus	candicans	4/18/2011	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												unique spp	Q. candicans	Susana Valencia			n/a	n/a	n/a	F														UMN	UMN	MOR	x	x	175895							OAK-UMN-156	Batch 2		Michoacan, MX		Wild		19.453344	-101.731678	Google Earth estimate to Lago Ziraheun	Mexico	Michoacan			Quercus candicans_>OAK-UMN-156	Quercus candicans | OAK-UMN-156 | MEXICO : Michoacan	http://quercus.lifedesks.org/node/890	Quercus candicans Née		PRJNA376740	0	OAK-UMN-156	PstI RADseq of Quercus candicans from MEXICO : Michoacan	OAK-UMN-156.fq.gz	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)	Hipp et al. ( SRA.2017.04.xx.ConvergenceStudy)					
9	QUE000009	JCB-MX-MI-ZE-9		Quercus rugosa Née	#N/A		Quercus	rugosa	40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												 	Q. rugosa Nee	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus rugosa Née													
10	QUE000010	JCB-MX-MI-ZE-10		Quercus magnoliifolia Née	#N/A		Quercus	magnoliifolia	40651	Jeannine Cavender-Bares			Mexico	Michoacan			Lago Zirahuen - Seccione Alpina - on the path from the dock/restaurant up to the upper cabanas												Q. resinosa? / magnolifolia resinosa group	Q. magnolifolia	Susana Valencia			n/a	n/a	n/a															UMN	UMN	x	x	x	na										Michoacan, MX		Wild					Mexico	Michoacan						Quercus magnoliifolia Née													
