DNA_TUBE_LABELS	SPECIMEN CODE	DNA all used up (tube tossed)	AHeditName	Used in Oaks of Americas study	COLLECTOR NUMBER	SPECIES	Collector Notes/Provin.	EXTRACTION DATE	Qubit tube A	Tube A current status	Qubit Tube B	Tube B current status	Nano lite: TUBE A 	tube A FM nano	Nano TUBE B 	Tissue Mass	A260/A280 tube A	A260/A280 tube B	Elution Volume (µl) tube3 a	Elution Volume B tubes	total ~µg in tube A	total ~µg in tube B	Total µg btwn A+ B	New Conc.	LOCATION_OF_DNA	Collector_Notes	Project	SPECIES.no.authors	Section	DNA extraction sheet
MOR_DM1				NO-  Asian Oaks- Min Deng		Cyclobalanopsis gracilis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis gracilis	Cyclobalanopsis	
MOR_DM10				NO-  Asian Oaks- Min Deng		Cyclobalanopsis fleuryi		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis fleuryi	Cyclobalanopsis	
MOR_DM11				NO-  Asian Oaks- Min Deng		Cyclobalanopsis pachyloma		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis pachyloma	Cyclobalanopsis	
MOR_DM12				NO-  Asian Oaks- Min Deng		Cyclobalanopsis patelliformis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis patelliformis	Cyclobalanopsis	
MOR_DM16				NO-  Asian Oaks- Min Deng		Cyclobalanopsis delavayi		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis delavayi	Cyclobalanopsis	
MOR_DM18				NO-  Asian Oaks- Min Deng		Cyclobalanopsis lamellosa		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis lamellosa	Cyclobalanopsis	
MOR_DM19				NO-  Asian Oaks- Min Deng		Cyclobalanopsis chapensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis chapensis	Cyclobalanopsis	
MOR_DM2				NO-  Asian Oaks- Min Deng		Cyclobalnaopsis kerrii		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalnaopsis kerrii	Cyclobalanopsis	
MOR_DM20				NO-  Asian Oaks- Min Deng		Cyclobalanopsis championii		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis championii	Cyclobalanopsis	
MOR_DM22				NO-  Asian Oaks- Min Deng		Cyclobalanopsis myrasinifolia		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis myrasinifolia	Cyclobalanopsis	
MOR_DM23				NO-  Asian Oaks- Min Deng		Cyclobalanopsis sessilifolia		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis sessilifolia	Cyclobalanopsis	
MOR_DM24				NO-  Asian Oaks- Min Deng		Cyclobalanopsis kouangsiensis		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis kouangsiensis	Cyclobalanopsis	
MOR_DM28				NO-  Asian Oaks- Min Deng		Cyclobalanopsis chrysocalyx		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis chrysocalyx	Cyclobalanopsis	
MOR_DM3				NO-  Asian Oaks- Min Deng		Cyclobalanopsis rex		n/a																	Min Deng's freezer boxes		East Asian Oaks RAD and AFLP- Min Deng	Cyclobalanopsis rex	Cyclobalanopsis	
