"","Quercus stellata","Quercus muehlenbergii","Quercus alba","Quercus macrocarpa-1","Quercus bicolor","Quercus macrocarpa-2","Longitude","Latitude","Species","Radius"
"OAK-MOR-001236",0,0,1,0,0,0,-89.80435,43.10661,"Quercus alba",0.75
"OAK-MOR-001239",0,0,1,0,0,0,-93.60573,42.04207,"Quercus alba",0.75
"OAK-MOR-001242",0,0,1,0,0,0,-91.79392,40.70625,"Quercus alba",0.75
"OAK-MOR-001246",0,0,0.984,0,0.016,0,-92.76227,37.97316,"Quercus alba",0.75
"OAK-MOR-001254",0,0,1,0,0,0,-92.32599,34.80299,"Quercus alba",0.75
"OAK-MOR-001255",0,0,1,0,0,0,-91.36499,37.15729,"Quercus alba",0.75
"OAK-MOR-001268",0,0,0.996,0,0,0,-88.367745,39.839311,"Quercus alba",0.75
"OAK-MOR-001273",0,0,1,0,0,0,-86.41434,38.73631,"Quercus alba",0.75
"OAK-MOR-001278",0,0,1,0,0,0,-85.50917,40.45911,"Quercus alba",0.75
"OAK-MOR-001287",0,0,0.525,0.026,0.273,0.122,-73.2201538,44.4463947,"Quercus alba",0.75
"OAK-MOR-001300",0,0,1,0,0,0,-94.80532,38.9803,"Quercus alba",0.75
"OAK-MOR-001301",0,0,1,0,0,0,-95.19265,38.8096,"Quercus alba",0.75
"OAK-MOR-001311",0,0,1,0,0,0,-83.7508,42.30474,"Quercus alba",0.75
"OAK-MOR-001312",0,0,0.98,0,0,0.019,-84.39114,42.76662,"Quercus alba",0.75
"OAK-MOR-001329",0,0,0.999,0,0,0,-87.93085,41.82519,"Quercus alba",0.75
"OAK-MOR-001347",0,0,1,0,0,0,-90.11679,43.01817,"Quercus alba",0.75
"OAK-MOR-001349",0,0,0.998,0,0,0,-88.06309,41.81345,"Quercus alba",0.75
"OAK-MOR-001364",0,0,1,0,0,0,-91.79381,40.70648,"Quercus alba",0.75
"OAK-MOR-001371",0,0,1,0,0,0,-92.76266,37.97414,"Quercus alba",0.75
"OAK-MOR-001381",0,0,0.531,0.001,0,0.468,-95.90014,36.21812,"Quercus alba",0.75
"OAK-MOR-001388",0,0,0.662,0.292,0,0.045,-92.32555,34.80306,"Quercus alba",0.75
"OAK-MOR-001389",0,0,0.366,0.423,0,0.208,-92.32557,34.8028,"Quercus alba",0.75
"OAK-MOR-001398",0,0,0,0.51,0.028,0.457,-91.63887,43.90232,"Quercus alba",0.75
"OAK-MOR-001429",0,0,1,0,0,0,-87.06218,41.65955,"Quercus alba",0.75
"OAK-MOR-001442",0,0,0.516,0.067,0,0.396,-73.24342162,44.23542333,"Quercus alba",0.75
"OAK-MOR-001446",0,0,0.562,0.007,0.106,0.27,-73.22037315,44.44643003,"Quercus alba",0.75
"OAK-MOR-001458",0,0,1,0,0,0,-90.55741,38.51347,"Quercus alba",0.75
"OAK-MOR-001462",0,0,1,0,0,0,-91.09208,38.21713,"Quercus alba",0.75
"OAK-MOR-001463",0,0,1,0,0,0,-91.09339,38.21733,"Quercus alba",0.75
"OAK-MOR-001466",0,0,1,0,0,0,-94.80692,38.97918,"Quercus alba",0.75
"OAK-MOR-001474",0,0,1,0,0,0,-95.18916,38.80958,"Quercus alba",0.75
"OAK-MOR-001475",0,0,1,0,0,0,-95.19019,38.8089,"Quercus alba",0.75
"OAK-MOR-001480",0,0,0.999,0,0,0,-85.74551,41.86308,"Quercus alba",0.75
"OAK-MOR-001483",0,0,1,0,0,0,-85.74573,41.86398,"Quercus alba",0.75
"OAK-MOR-001484",0,0,1,0,0,0,-85.74568,41.86993,"Quercus alba",0.75
"OAK-MOR-001488",0,0,0.999,0,0,0,-83.75024,42.30204,"Quercus alba",0.75
"OAK-MOR-001490",0,0,1,0,0,0,-83.75718,42.30881,"Quercus alba",0.75
"OAK-MOR-001491",0,0,0.989,0,0,0,-84.39124,42.76774,"Quercus alba",0.75
"OAK-MOR-001494",0,0,1,0,0,0,-84.38236,42.76512,"Quercus alba",0.75
"OAK-MOR-001496",0,0,0.994,0.002,0,0.003,-90.11357,43.01563,"Quercus alba",0.75
"OAK-MOR-001498",0,0,0.446,0.032,0.029,0.439,-88.44255,43.01574,"Quercus alba",0.75
"OAK-MOR-001499",0,0,0.999,0,0,0,-88.43778,43.01792,"Quercus alba",0.75
"OAK-MOR-001502",0,0,0.982,0,0,0.018,-89.43919,43.03918,"Quercus alba",0.75
"OAK-MOR-001504",0,0,0.997,0,0,0,-89.44242,43.03971,"Quercus alba",0.75
"OAK-MOR-001506",0,0,1,0,0,0,-89.44103,43.03713,"Quercus alba",0.75
"OAK-MOR-001419",0,0.104,0.896,0,0,0,-86.41478,38.73651,"Quercus alba",0.75
"OAK-MOR-001421",0,0.094,0.906,0,0,0,-85.50685,40.45791,"Quercus alba",0.75
"OAK-MOR-001318",0,0,0.99,0,0,0.01,-88.43531,43.01706,"Quercus alba",0.75
"OAK-MOR-001399",0,0,1,0,0,0,-91.64829,43.89158,"Quercus alba",0.75
"OAK-MOR-001481",0,0,1,0,0,0,-85.74568,41.74568,"Quercus alba",0.75
"OAK-MOR-001482",0,0,1,0,0,0,-85.74576,41.86175,"Quercus alba",0.75
"OAK-MOR-001493",0,0,1,0,0,0,-84.39044,42.76807,"Quercus alba",0.75
"OAK-MOR-001445",0,0.014,0.183,0,0.061,0.086,-73.22044842,44.44644457,"Quercus alba",0.75
"OAK-MOR-001355",0,0,0.99,0,0,0.008,-89.80337,43.10661,"Quercus alba",0.75
"OAK-MOR-001343",0,0,0.986,0.002,0.002,0.01,-90.1181,43.02158,"Quercus alba",0.75
"OAK-MOR-001259",0,0,0.985,0.001,0.013,0,-95.89998,36.21813,"Quercus alba",0.75
