"","Quercus stellata","Quercus muehlenbergii","Quercus alba","Quercus macrocarpa-1","Quercus bicolor","Quercus macrocarpa-2","Longitude","Latitude","Species","Radius"
"OAK-MOR-001459",0,0,0,0.607,0.004,0.387,-91.08245,38.22685,"Quercus macrocarpa",0.75
"OAK-MOR-001415",0,0,0,0.69,0,0.31,-88.367745,39.839311,"Quercus macrocarpa",0.75
"OAK-MOR-001423",0,0,0.16,0.048,0.004,0.769,-85.50878,40.45911,"Quercus macrocarpa",0.75
"OAK-MOR-001315",0,0,0,0.508,0.389,0.103,-84.38254,42.76526,"Quercus macrocarpa",0.75
"OAK-MOR-001241",0,0,0,0.137,0,0.863,-91.79416,40.7056,"Quercus macrocarpa",0.75
"OAK-MOR-001253",0,0,0,0.174,0,0.826,-92.32634,34.80384,"Quercus macrocarpa",0.75
"OAK-MOR-001256",0,0,0,0.677,0,0.279,-91.36471,37.15687,"Quercus macrocarpa",0.75
"OAK-MOR-001257",0,0,0,0.812,0,0.188,-91.7239,41.9736,"Quercus macrocarpa",0.75
"OAK-MOR-001258",0,0,0,0.778,0,0.222,-95.89845,36.2204,"Quercus macrocarpa",0.75
"OAK-MOR-001260",0,0,0,0.119,0,0.88,-97.4497,35.17688,"Quercus macrocarpa",0.75
"OAK-MOR-001261",0.01,0,0,0.948,0.041,0.001,-91.63996,43.90292,"Quercus macrocarpa",0.75
"OAK-MOR-001263",0,0,0,0.688,0,0.311,-99.1604,49.76137,"Quercus macrocarpa",0.75
"OAK-MOR-001264",0,0,0,0.151,0,0.849,-97.24911,49.85783,"Quercus macrocarpa",0.75
"OAK-MOR-001265",0,0,0,0.397,0,0.599,-91.14288,46.0259,"Quercus macrocarpa",0.75
"OAK-MOR-001266",0,0,0,0.051,0,0.949,-98.58906,38.963586,"Quercus macrocarpa",0.75
"OAK-MOR-001270",0,0,0,0.815,0,0.185,-89.44535,37.51639,"Quercus macrocarpa",0.75
"OAK-MOR-001271",0,0,0,0.657,0,0.342,-86.41257,38.7362,"Quercus macrocarpa",0.75
"OAK-MOR-001282",0,0,0.019,0.156,0.059,0.766,-73.41208957,42.16664935,"Quercus macrocarpa",0.75
"OAK-MOR-001286",0,0,0.003,0.071,0,0.923,-73.23756963,44.40068135,"Quercus macrocarpa",0.75
"OAK-MOR-001298",0,0,0,0.614,0,0.386,-94.8052,38.98007,"Quercus macrocarpa",0.75
