"","long","lat","Species"
"OAK-MOR-001467",-94.80537,38.97934,"Quercus muehlenbergii"
"OAK-MOR-001459",-91.08245,38.22685,"Quercus macrocarpa"
"OAK-MOR-001290",-90.55921,38.51135,"Quercus muehlenbergii"
"OAK-MOR-001304",-95.19389,38.8087,"Quercus muehlenbergii"
"OAK-MOR-001307",-96.59982,39.10158,"Quercus muehlenbergii"
"OAK-MOR-001236",-89.80435,43.10661,"Quercus alba"
"OAK-MOR-001239",-93.60573,42.04207,"Quercus alba"
"OAK-MOR-001242",-91.79392,40.70625,"Quercus alba"
"OAK-MOR-001246",-92.76227,37.97316,"Quercus alba"
"OAK-MOR-001254",-92.32599,34.80299,"Quercus alba"
"OAK-MOR-001255",-91.36499,37.15729,"Quercus alba"
"OAK-MOR-001268",-88.367745,39.839311,"Quercus alba"
"OAK-MOR-001273",-86.41434,38.73631,"Quercus alba"
"OAK-MOR-001278",-85.50917,40.45911,"Quercus alba"
"OAK-MOR-001287",-73.2201538,44.4463947,"Quercus alba"
"OAK-MOR-001300",-94.80532,38.9803,"Quercus alba"
"OAK-MOR-001301",-95.19265,38.8096,"Quercus alba"
"OAK-MOR-001311",-83.7508,42.30474,"Quercus alba"
"OAK-MOR-001312",-84.39114,42.76662,"Quercus alba"
"OAK-MOR-001329",-87.93085,41.82519,"Quercus alba"
"OAK-MOR-001347",-90.11679,43.01817,"Quercus alba"
"OAK-MOR-001349",-88.06309,41.81345,"Quercus alba"
"OAK-MOR-001364",-91.79381,40.70648,"Quercus alba"
"OAK-MOR-001371",-92.76266,37.97414,"Quercus alba"
"OAK-MOR-001381",-95.90014,36.21812,"Quercus alba"
"OAK-MOR-001388",-92.32555,34.80306,"Quercus alba"
"OAK-MOR-001389",-92.32557,34.8028,"Quercus alba"
"OAK-MOR-001395",-91.36496,37.1574,"Quercus muehlenbergii"
"OAK-MOR-001397",-91.63986,43.903,"Quercus muehlenbergii"
"OAK-MOR-001398",-91.63887,43.90232,"Quercus alba"
"OAK-MOR-001415",-88.367745,39.839311,"Quercus macrocarpa"
"OAK-MOR-001423",-85.50878,40.45911,"Quercus macrocarpa"
"OAK-MOR-001429",-87.06218,41.65955,"Quercus alba"
"OAK-MOR-001442",-73.24342162,44.23542333,"Quercus alba"
"OAK-MOR-001446",-73.22037315,44.44643003,"Quercus alba"
"OAK-MOR-001458",-90.55741,38.51347,"Quercus alba"
"OAK-MOR-001462",-91.09208,38.21713,"Quercus alba"
"OAK-MOR-001463",-91.09339,38.21733,"Quercus alba"
"OAK-MOR-001466",-94.80692,38.97918,"Quercus alba"
"OAK-MOR-001474",-95.18916,38.80958,"Quercus alba"
"OAK-MOR-001475",-95.19019,38.8089,"Quercus alba"
"OAK-MOR-001480",-85.74551,41.86308,"Quercus alba"
"OAK-MOR-001483",-85.74573,41.86398,"Quercus alba"
"OAK-MOR-001484",-85.74568,41.86993,"Quercus alba"
"OAK-MOR-001488",-83.75024,42.30204,"Quercus alba"
"OAK-MOR-001490",-83.75718,42.30881,"Quercus alba"
"OAK-MOR-001491",-84.39124,42.76774,"Quercus alba"
"OAK-MOR-001494",-84.38236,42.76512,"Quercus alba"
"OAK-MOR-001496",-90.11357,43.01563,"Quercus alba"
"OAK-MOR-001498",-88.44255,43.01574,"Quercus alba"
"OAK-MOR-001499",-88.43778,43.01792,"Quercus alba"
"OAK-MOR-001502",-89.43919,43.03918,"Quercus alba"
"OAK-MOR-001504",-89.44242,43.03971,"Quercus alba"
"OAK-MOR-001506",-89.44103,43.03713,"Quercus alba"
"OAK-MOR-001240",NA,NA,"Quercus bicolor"
"OAK-MOR-001272",-86.41245,38.73625,"Quercus muehlenbergii"
"OAK-MOR-001275",-85.50383,40.45892,"Quercus muehlenbergii"
"OAK-MOR-001291",-91.08296,38.22667,"Quercus bicolor"
"OAK-MOR-001315",-84.38254,42.76526,"Quercus macrocarpa"
"OAK-MOR-001328",-87.91628,42.18431,"Quercus bicolor"
"OAK-MOR-001331",-87.93334,41.82445,"Quercus bicolor"
"OAK-MOR-001419",-86.41478,38.73651,"Quercus alba"
"OAK-MOR-001421",-85.50685,40.45791,"Quercus alba"
"OAK-MOR-001424",-85.50926,40.45917,"Quercus bicolor"
"OAK-MOR-001492",-84.3908,42.76743,"Quercus bicolor"
"OAK-MOR-001251",-92.32644,34.80446,"Quercus lyrata"
"OAK-MOR-001241",-91.79416,40.7056,"Quercus macrocarpa"
"OAK-MOR-001253",-92.32634,34.80384,"Quercus macrocarpa"
"OAK-MOR-001256",-91.36471,37.15687,"Quercus macrocarpa"
"OAK-MOR-001257",-91.7239,41.9736,"Quercus macrocarpa"
"OAK-MOR-001258",-95.89845,36.2204,"Quercus macrocarpa"
"OAK-MOR-001260",-97.4497,35.17688,"Quercus macrocarpa"
